Location UID,dir,Count,Vehicle Type,Pole ID,Node ID,dates,times
hsq9n5wxk0ll7kno40l,E,0,large_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,6:00
hsq9n5wxk0ll7kno40l,W,0,bus,GRR_02_ai,947bbe4010b6,9/24/2022,6:00
hsq9n5wxk0ll7kno40l,E,0,bus,GRR_02_ai,947bbe4010b6,9/24/2022,6:00
sz02oh1pc8l7f44oql,W,9,small_vehicle,GRR_01_ai,947bbe401250,9/24/2022,7:00
sz02oh1pc8l7f44oql,E,19,small_vehicle,GRR_01_ai,947bbe401250,9/24/2022,7:00
sz02oh1pc8l7f44oql,W,0,large_vehicle,GRR_01_ai,947bbe401250,9/24/2022,7:00
sz02oh1pc8l7f44oql,E,0,large_vehicle,GRR_01_ai,947bbe401250,9/24/2022,7:00
sz02oh1pc8l7f44oql,W,0,bus,GRR_01_ai,947bbe401250,9/24/2022,7:00
sz02oh1pc8l7f44oql,E,0,bus,GRR_01_ai,947bbe401250,9/24/2022,7:00
zmtiez2quapl7f4qc8q,E,4,small_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,7:00
zmtiez2quapl7f4qc8q,W,10,small_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,7:00
zmtiez2quapl7f4qc8q,E,0,large_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,7:00
zmtiez2quapl7f4qc8q,W,0,large_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,7:00
zmtiez2quapl7f4qc8q,E,0,bus,GRR_03_ai,947bbe40124b,9/24/2022,7:00
zmtiez2quapl7f4qc8q,W,0,bus,GRR_03_ai,947bbe40124b,9/24/2022,7:00
hsq9n5wxk0ll7kno40l,W,10,small_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,7:00
hsq9n5wxk0ll7kno40l,E,7,small_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,7:00
hsq9n5wxk0ll7kno40l,W,0,large_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,7:00
hsq9n5wxk0ll7kno40l,E,0,large_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,7:00
hsq9n5wxk0ll7kno40l,W,0,bus,GRR_02_ai,947bbe4010b6,9/24/2022,7:00
hsq9n5wxk0ll7kno40l,E,0,bus,GRR_02_ai,947bbe4010b6,9/24/2022,7:00
sz02oh1pc8l7f44oql,W,24,small_vehicle,GRR_01_ai,947bbe401250,9/24/2022,8:00
sz02oh1pc8l7f44oql,E,25,small_vehicle,GRR_01_ai,947bbe401250,9/24/2022,8:00
sz02oh1pc8l7f44oql,W,0,large_vehicle,GRR_01_ai,947bbe401250,9/24/2022,8:00
sz02oh1pc8l7f44oql,E,0,large_vehicle,GRR_01_ai,947bbe401250,9/24/2022,8:00
sz02oh1pc8l7f44oql,W,0,bus,GRR_01_ai,947bbe401250,9/24/2022,8:00
sz02oh1pc8l7f44oql,E,0,bus,GRR_01_ai,947bbe401250,9/24/2022,8:00
zmtiez2quapl7f4qc8q,E,17,small_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,8:00
zmtiez2quapl7f4qc8q,W,9,small_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,8:00
zmtiez2quapl7f4qc8q,E,0,large_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,8:00
zmtiez2quapl7f4qc8q,W,0,large_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,8:00
zmtiez2quapl7f4qc8q,E,0,bus,GRR_03_ai,947bbe40124b,9/24/2022,8:00
zmtiez2quapl7f4qc8q,W,0,bus,GRR_03_ai,947bbe40124b,9/24/2022,8:00
hsq9n5wxk0ll7kno40l,W,13,small_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,8:00
hsq9n5wxk0ll7kno40l,E,11,small_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,8:00
hsq9n5wxk0ll7kno40l,W,0,large_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,8:00
hsq9n5wxk0ll7kno40l,E,0,large_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,8:00
hsq9n5wxk0ll7kno40l,W,0,bus,GRR_02_ai,947bbe4010b6,9/24/2022,8:00
hsq9n5wxk0ll7kno40l,E,0,bus,GRR_02_ai,947bbe4010b6,9/24/2022,8:00
sz02oh1pc8l7f44oql,W,47,small_vehicle,GRR_01_ai,947bbe401250,9/24/2022,9:00
sz02oh1pc8l7f44oql,E,44,small_vehicle,GRR_01_ai,947bbe401250,9/24/2022,9:00
sz02oh1pc8l7f44oql,W,0,large_vehicle,GRR_01_ai,947bbe401250,9/24/2022,9:00
sz02oh1pc8l7f44oql,E,0,large_vehicle,GRR_01_ai,947bbe401250,9/24/2022,9:00
sz02oh1pc8l7f44oql,W,0,bus,GRR_01_ai,947bbe401250,9/24/2022,9:00
sz02oh1pc8l7f44oql,E,0,bus,GRR_01_ai,947bbe401250,9/24/2022,9:00
zmtiez2quapl7f4qc8q,E,31,small_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,9:00
zmtiez2quapl7f4qc8q,W,25,small_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,9:00
zmtiez2quapl7f4qc8q,E,0,large_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,9:00
zmtiez2quapl7f4qc8q,W,0,large_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,9:00
zmtiez2quapl7f4qc8q,E,0,bus,GRR_03_ai,947bbe40124b,9/24/2022,9:00
zmtiez2quapl7f4qc8q,W,0,bus,GRR_03_ai,947bbe40124b,9/24/2022,9:00
hsq9n5wxk0ll7kno40l,W,28,small_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,9:00
hsq9n5wxk0ll7kno40l,E,31,small_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,9:00
hsq9n5wxk0ll7kno40l,W,0,large_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,9:00
hsq9n5wxk0ll7kno40l,E,0,large_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,9:00
hsq9n5wxk0ll7kno40l,W,0,bus,GRR_02_ai,947bbe4010b6,9/24/2022,9:00
hsq9n5wxk0ll7kno40l,E,0,bus,GRR_02_ai,947bbe4010b6,9/24/2022,9:00
sz02oh1pc8l7f44oql,W,77,small_vehicle,GRR_01_ai,947bbe401250,9/24/2022,10:00
sz02oh1pc8l7f44oql,E,87,small_vehicle,GRR_01_ai,947bbe401250,9/24/2022,10:00
sz02oh1pc8l7f44oql,W,0,large_vehicle,GRR_01_ai,947bbe401250,9/24/2022,10:00
sz02oh1pc8l7f44oql,E,1,large_vehicle,GRR_01_ai,947bbe401250,9/24/2022,10:00
sz02oh1pc8l7f44oql,W,0,bus,GRR_01_ai,947bbe401250,9/24/2022,10:00
sz02oh1pc8l7f44oql,E,0,bus,GRR_01_ai,947bbe401250,9/24/2022,10:00
zmtiez2quapl7f4qc8q,E,26,small_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,10:00
zmtiez2quapl7f4qc8q,W,35,small_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,10:00
zmtiez2quapl7f4qc8q,E,0,large_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,10:00
zmtiez2quapl7f4qc8q,W,1,large_vehicle,GRR_03_ai,947bbe40124b,9/24/2022,10:00
zmtiez2quapl7f4qc8q,E,0,bus,GRR_03_ai,947bbe40124b,9/24/2022,10:00
zmtiez2quapl7f4qc8q,W,0,bus,GRR_03_ai,947bbe40124b,9/24/2022,10:00
hsq9n5wxk0ll7kno40l,W,47,small_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,10:00
hsq9n5wxk0ll7kno40l,E,27,small_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,10:00
hsq9n5wxk0ll7kno40l,W,0,large_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,10:00
hsq9n5wxk0ll7kno40l,E,0,large_vehicle,GRR_02_ai,947bbe4010b6,9/24/2022,10:00
hsq9n5wxk0ll7kno40l,W,0,bus,GRR_02_ai,947bbe4010b6,9/24/2022,10:00
hsq9n5wxk0ll7kno40l,E,0,bus,GRR_02_ai,947bbe4010b6,9/24/2022,10:00
sz02oh1pc8l7f44oql,W,92,small_vehicle,GRR_01_ai,947bbe401250,9/24/2022,11:00
